,title,author,current price
480,Unravel the Dusk,Elizabeth Lim,15.99
481,Rita Hayworth and Shawshank Redemption,Stephen King,13.86
482,Last Night at the Telegraph Club,Malinda Lo,15.53
483,King of Scars,Leigh Bardugo,19.58
484,Range,David Epstein,13.39
486,Home Body,Rupi Kaur,16.03
491,We Free the Stars,Hafsah Faizal,18.35
492,Under the Whispering Door,Tj Klune,25.11
501,The Little Book of Joy,Joanne Ruelos Diaz,21.0
505,Better Off Dead,Lee Child,21.38
507,The Age of Surveillance Capitalism,Professor Shoshana Zuboff,16.9
509,"Monstress, Volume 6: The Vow",Marjorie Liu,16.08
510,Awaken Your Power Within,Gerry Hussey,24.11
511,A Court of Mist and Fury,Sarah J. Maas,15.86
513,Ace of Spades,Faridah Àbíké-Íyímídé,14.07
519,Troy,Stephen Fry,13.68
521,The House in the Cerulean Sea,TJ Klune,17.46
529,How to Change Your Mind,Michael Pollan,14.72
531,"Toilet-bound Hanako-kun, Vol. 1",Aidalro,12.07
532,"Jujutsu Kaisen, Vol. 12",Gege Akutami,10.52
533,The Greatest Feeling in the World,Tim Sattler-Jones,19.43
537,Ottolenghi FLAVOUR,Yotam Ottolenghi,37.96
539,The Starless Sea,Erin Morgenstern,16.31
543,Throne of Glass Box Set,Sarah J. Maas,160.32
544,On Earth We're Briefly Gorgeous,Ocean Vuong,15.94
545,Invention,James Dyson,21.66
547,The Highway Rat,Julia Donaldson,9.92
548,The Tarot of Curious Creatures,Chris-Anne,19.16
549,Super Extra Deluxe Essential Handbook,Scholastic,18.7
550,The Ballad of Songbirds and Snakes (A Hunger Games Novel),Suzanne Collins,14.97
555,Nina Simone's Gum,Warren Ellis,26.11
556,China Coup,Roger Garside,24.09
558,Teach Yourself to Sleep,Kate Mikhail,15.94
559,The Menopause Manifesto,Dr. Jennifer Gunter,23.06
562,The Tyranny of Merit,Michael J. Sandel,12.67
565,Hear Yourself,Prem Rawat,23.73
566,Gods & Monsters,Shelby Mahurin,14.48
567,The Guest List,Lucy Foley,12.84
571,From One Mom to a Mother,Jessica Urlichs,11.88
572,The Charm Offensive,Alison Cochrun,15.17
573,"Dragon Ball Super, Vol. 14",Akira Toriyama,10.31
574,"Spy x Family, Vol. 6",Tatsuya Endo,8.98
577,Embroidering the Everyday,Cas Holmes,32.5
578,Four Thousand Weeks,Oliver Burkeman,21.72
579,The Starseed Oracle,Rebecca Campbell,20.91
581,Atlas of the Heart,Brene Brown,24.37
583,Credence,Penelope Douglas,21.47
584,Blue Period 2,Tsubasa Yamaguchi,12.07
585,Wotakoi: Love Is Hard for Otaku 5,Fujita,16.1
586,Providence Compendium,Alan Moore,31.85
587,Layla,Colleen Hoover,12.46
588,"Gideon Falls Deluxe Edition, Book One",Jeff Lemire,46.19
589,Happy Sexy Millionaire,Steven Bartlett,18.57
594,Live Beautiful,Athena Calderone,41.95
595,The Maidens,Alex Michaelides,17.47
597,MEDICAL MEDIUM CLEANSE TO HEAL,Anthony William,37.42
598,Once Upon a Broken Heart,Stephanie Garber,24.77
599,Meditations,Marcus Aurelius,11.03
600,A Slow Fire Burning,Paula Hawkins,20.11
601,Ranger 22,Ray Goggins,20.64
602,My Money My Way,Kumiko Love,23.27
603,Tarot of the Divine,Yoshi Yoshitani,19.86
605,The Fortune Men,Nadifa Mohamed,21.28
609,Crier's War,Nina Varela,11.86
610,"Hunt, Gather, Parent",Michaeleen Doucleff,20.85
611,Rock Paper Scissors,Alice Feeney,13.05
612,Gild,Raven Kennedy,19.6
613,The Fortnight in September,R C Sherriff,15.38
614,Demon Slayer Complete Box Set,Koyoharu Gotouge,178.99
615,"JoJo's Bizarre Adventure: Part 5--Golden Wind, Vol. 1",Hirohiko Araki,21.14
616,Between us,Ruby Dhal,13.42
618,Cook As You Are,Ruby Tandoh,25.65
619,The Passenger,Ulrich Alexander Boschwitz,18.19
620,Wings of Fire 6-10 Boxed Set: the Jade Mountain Prophecy,"Tui,T Sutherland",41.79
621,ACT Made Simple,Russ Harris,32.79
622,Can't Hurt Me,David Goggins,26.23
623,This is How You Lose the Time War,Amal El-Mohtar,15.56
624,"Authentically, Uniquely You",Joyce Meyer,15.48
625,Dune,Frank Herbert,12.89
626,The Storm Sister,Lucinda Riley,23.47
627,I Wanna Be Yours,John Cooper Clarke,16.32
628,The Moon Sister,Lucinda Riley,16.51
629,Bad Blood,John Carreyrou,20.07
632,What Really Happened In Wuhan,Sharri Markson,25.95
640,The Shadows Between Us,Tricia Levenseller,19.11
641,The Boy Who Made Everyone Laugh,Helen Rutter,10.94
642,David Attenborough: Volume 34,Maria Isabel Sanchez Vegara,18.13
644,Mr Salary,Sally Rooney,7.8
648,"Women, Food, and Hormones",Sara Gottfried,14.56
649,The Roommate,Rosie Danan,24.22
651,The Whole Truth,Cara Hunter,14.48
653,The Complete Gardener,Monty Don,33.68
654,"Index, A History of the",Dennis Duncan,26.58
660,Serpent & Dove,Shelby Mahurin,12.33
661,An Innocent Baby,Cathy Glass,9.34
662,Loveless,Alice Oseman,13.39
663,The Well Gardened Mind,Sue Stuart-Smith,17.11
665,Untangle Your Anxiety,Dean Stott,17.53
666,CALENDARIO 2022. CARLES DALMAU,CARLES DALMAU,18.77
667,Still Standing,Jessica Quinn,33.55
668,Dessert Person,Claire Saffitz,34.71
669,"Chainsaw Man, Vol. 8",Tatsuki Fujimoto,11.44
670,"Mashle: Magic and Muscles, Vol. 1",Hajime Komoto,13.79
671,A Shadow in the Ember,Jennifer L Armentrout,28.63
672,The Dessert Game,Reynold Poernomo,25.58
673,Women Don't Owe You Pretty,Florence Given,7.69
674,The Dessert Game,Reynold Poernomo,28.92
680,The Winter of the Witch,Katherine Arden,17.51
686,Classroom of the Elite (Light Novel) Vol. 9,Syougo Kinugasa,14.35
688,The Body,Stephen King,11.21
689,The Mist,Stephen King,11.21
690,These Hollow Vows,Lexi Ryan,23.91
691,Jane's Patisserie,Jane Dunn,29.51
692,Cinderella Is Dead,Kalynn Bayron,10.82
693,House of Earth and Blood,Sarah J. Maas,18.46
694,The Shadow Sister,Lucinda Riley,16.04
697,How to Save a Life,LYNETTE RICE,12.47
698,How the King of Elfhame Learned to Hate Stories (The Folk of the Air series),Holly Black,20.03
701,Limitless,Jim Kwik,23.94
702,Investigators: Ants in Our P.A.N.T.S.,John Patrick Green,15.44
703,Twisted Love - Special Edition,Ana Huang,17.32
705,Aisling and the City,Emer McLysaght,18.06
709,The Plot,Jean Hanff Korelitz,11.98
711,The Thursday Murder Club,Richard Osman,22.21
718,Iron Heart,Nina Varela,11.57
721,The Nature of Middle-earth,J. R. R. Tolkien,32.97
725,Moleskine Ltd. Ed. Peanuts 2022 18-Month Weekly Large Hardcover Notebook: Black,Moleskine,21.52
726,Tarot of Oppositions,Pierluca Zizzi,27.19
727,Caraval,Stephanie Garber,16.54
728,"Toilet-bound Hanako-kun, Vol. 10",AidaIro,13.37
729,"Fist of the North Star, Vol. 2",Buronson,23.57
730,"My Hero Academia, Vol. 27",Kohei Horikoshi,9.48
731,Did You Hear What Eddie Gein Done?,Eric Powell,28.24
732,The Listener,Frances Gaudiano,15.51
733,Boy Parts,Eliza Clark,12.78
734,Minor Feelings,Cathy Park Hong,16.35
735,Moonology (TM) Manifestation Oracle,Yasmin Boland,19.68
736,Consolations,David Whyte,22.53
737,Snow Country,Sebastian Faulks,18.87
738,The Gifts of Imperfection,Brene Brown,21.12
741,The Rise of the Ultra Runners,Adharanand Finn,12.7
742,When We Cease to Understand the World,Benjamin Labatut,11.73
743,At Night All Blood is Black,David Diop,14.42
744,Attack on Titan 33,Hajime Isayama,10.21
745,Harry Potter: Holiday Magic: The Official Advent Calendar,Insight Editions,31.58
748,When Breath Becomes Air,Paul Kalanithi,9.23
749,The Deficit Myth,Stephanie Kelton,18.45
750,Defy the Night,Brigid Kemmerer,11.61
751,A Court of Silver Flames,Sarah J. Maas,26.21
752,The Long Call,Ann Cleeves,14.45
753,The Bewitching of Aveline Jones,Phil Hickes,9.76
754,The Madness of Crowds,Douglas Murray,15.65
762,Maid,Stephanie Land,9.25
770,The Modern Break-Up,Daniel Chidiac,22.47
773,Great Circle,Maggie Shipstead,23.89
779,Crossroads,Jonathan Franzen,16.37
780,The Jasmine Throne,Tasha Suri,12.36
781,"Act Your Age, Eve Brown",Talia Hibbert,15.49
782,"Take a Hint, Dani Brown",Talia Hibbert,15.65
785,Kingdom of the Wicked,Kerri Maniscalco,12.47
788,The Compound Effect,Darren Hardy,17.71
791,English Pastoral,James Rebanks,12.67
802,1984 Nineteen Eighty-Four,George Orwell,6.58
803,First Man In,Ant Middleton,17.53
804,yes i have anxiety deal with it coloring book,Adam Strsed,9.58
805,Chainsaw Man 1,Tatsuki Fujimoto,9.17
806,"Haikyu!!, Vol. 45",Haruichi Furudate,8.9
807,The Long Field,Pamela Petro,25.19
809,Nineteen Eighty-Four,George Orwell,6.81
810,Know Your Rights,Angelina Jolie,9.78
811,Advent Calendar Book Collection,Usborne,28.8
812,The Invisible Life of Addie LaRue Export Edition,V. E. Schwab,24.05
813,The Daily Stoic Journal,Ryan Holiday,21.52
814,What I Love About You,Studio Press,15.75
815,Moonflower Murders,Anthony Horowitz,15.84
817,The Amur River,Colin Thubron,35.15
820,Christians,Greg Sheridan,35.63
821,A Touch of Darkness,Scarlett St. Clair,17.63
822,Our Dreams at Dusk: Shimanami Tasogare Vol. 3,Yuhki Kamatani,17.63
825,The Sun Dog,Stephen King,11.21
826,The Anthropocene Reviewed,John Green,25.6
827,Lily's Promise,Lily Ebert,25.12
828,A Deadly Education,Naomi Novik,15.55
829,A Court of Thorns and Roses Box Set,Sarah J. Maas,71.95
830,Indistractable,Nir Eyal,14.87
831,A Tale of Magic: A Tale of Sorcery,Chris Colfer,27.82
832,The Sun Sister,Lucinda Riley,15.89
833,Berserk Deluxe Volume 10,Kentaro Miura,44.74
839,Legendary,Stephanie Garber,13.86
840,Practising Parisienne,Marissa Cox,21.12
841,"Kim Jiyoung, Born 1982",Cho Nam-Joo,13.48
851,Medical Medium,Anthony William,39.99
852,Dog Man 10: Mothering Heights (the new blockbusting international bestseller),Dav Pilkey,14.9
855,Twisted Games - Special Edition,Ana Huang,18.43
864,The Nickel Boys,Colson Whitehead,12.31
865,1177 B.C.,Eric H. Cline,16.95
866,The Legend of Aleister Crowley,Percy Stephensen,20.63
871,Anime Architecture,Stefan Riekeles,47.63
874,Bridgerton: When He Was Wicked (Bridgertons Book 6),Julia Quinn,10.12
875,How to Make the World Add Up,Tim Harford,19.27
877,Kingdom of the Wicked,Kerri Maniscalco,21.59
880,The Wonderful Things You Will Be,Emily Winfield Martin,20.2
881,"Women, Race & Class",Angela Y. Davis,16.86
889,The Upside of Falling,Alex Light,10.42
892,MEGAMONSTER,David Walliams,23.6
893,My Dark Vanessa,Kate Elizabeth Russell,15.0
898,a la Mitad del Camino,Andres Manuel Lopez Obrador,20.94
899,Trono de cristal: Reino de cenizas,"Maas, Sarah J.",24.66
900,The Book of St. Brigid,Colm Keane,18.92
901,What Colour Is Your Parachute? 2021,Richard N. Bolles,17.44
902,"Yotsuba&!, Vol. 15",Kiyohiko Azuma,12.43
903,"One-Punch Man, Vol. 22",One,9.76
904,"One-Punch Man, Vol. 23",ONE,11.07
905,Sensor,Junji Ito,20.51
906,"BEASTARS, Vol. 14",Paru Itagaki,12.63
907,Maybe,Kobi Yamada,19.1
910,Modern Witch Tarot,Lisa Sterle,26.95
913,Normal Sheeple,Ross O'Carroll-Kelly,19.91
916,Liz Climo 2022 Daily Calendar,Liz Climo,16.6
917,Old Ireland in Colour 2,John Breslin,33.51
919,The Proudest Blue,Ibtihaj Muhammad,14.07
921,SPSS Survival Manual,Julie Pallant,49.34
922,Self-Love Workbook for Women,Megan Logan,17.66
923,Vinland Saga 12,Makoto Yukimura,20.58
924,Witch Hat Atelier 8,Kamome Shirahama,12.99
925,Rent-A-Girlfriend 8,Reiji Miyajima,11.86
926,Witch Hat Atelier 1,Kamome Shirahama,13.41
930,We Free the Stars,Hafsah Faizal,16.04
931,All Are Welcome,Alexandra Penfold,12.46
934,Home Stretch,Graham Norton,15.78
935,The State Of Affairs,Esther Perel,13.76
937,Redemptor,Hot Key Books,10.68
938,Clap When You Land,Elizabeth Acevedo,13.17
940,The 5 Am Club,Robin Sharma,15.25
942,Gentle and Lowly,Dane C. Ortlund,19.33
946,The Two Lost Mountains,Matthew Reilly,11.41
948,The Whale Who Wanted More,Rachel Bright,10.31
951,Minecraft Joke Book,Mojang AB,13.37
952,Archetype Cards,Caroline Myss,20.98
953,Skin in the Game,Jane Wurwand,25.05
954,"The Invisible Life of Addie Larue, Special Edition",V E Schwab,26.84
955,Lakesedge,Lyndall Clipstone,21.16
956,Daughter of the Siren Queen,Tricia Levenseller,13.16
958,Lonely Castle in the Mirror,Mizuki Tsujimura,20.95
959,Essentialism,Greg McKeown,15.65
963,Holy Women of Great Perfection,Dangsong Namgyal,19.99
970,The Genius of Jesus,Erwin Raphael McManus,20.66
971,A Little Hatred,Joe Abercrombie,11.94
976,On All Fronts,Clarissa Ward,16.78
978,Bridgerton: The Duke and I (Bridgertons Book 1),Julia Quinn,15.47
980,The Bridgerton Collection: Books 1 - 4,Julia Quinn,46.75
981,There's No Such Thing As 'Naughty',Kate Silverton,23.17
983,Agent Sonya,Ben Macintyre,15.91
984,The Extremely Embarrassing Life of Lottie Brooks,Katie Kirby,10.11
989,Aroha,Hinemoa Elder,28.64
1001,"How to Make Money in Stocks: A Winning System in Good Times and Bad, Fourth Edition",William O'Neil,20.45
1002,The Dressmakers of Auschwitz,Lucy Adlington,16.03
1003,"One: Pot, Pan, Planet",Anna Jones,37.48
1006,Plants for Your Food Forest,Plants for a Future,27.35
1007,Legendary (Caraval 2),Stephanie Garber,16.54
1008,"Star Wars: The High Republic: Edge of Balance, Vol. 1",Shima Shinya,13.92
1009,"The Promised Neverland, Vol. 20",Kaiu Shirai,13.92
1010,"My Hero Academia, Vol. 28",Kohei Horikoshi,10.31
1011,"Blue Flag, Vol. 8",KAITO,13.41
1013,The Good Life,Hannah Moloney,49.07
1015,The Labyrinth,Amanda Lohrey,30.72
1016,A Dowry of Blood,S T Gibson,12.77
1017,"The Good Enough Parent: How to raise contented, interesting and resilient children",The School of Life,19.57
1018,Maybe You Should Talk to Someone,Lori Gottlieb,21.31
