,title,author,publication year,publication month,publication day,format,current price,original price
0,It Ends With Us: The most heartbreaking novel you'll ever read,Colleen Hoover,2016,Aug,2,Paperback,13.87,13.87
1,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2020,Apr,2,Paperback,13.73,13.73
2,The Body Keeps the Score,Bessel van der Kolk,2015,Sep,24,Paperback,14.62,14.96
3,The Midnight Library,Matt Haig,2021,Feb,18,Paperback,10.8,12.24
4,The Song of Achilles,Madeline Miller,2017,Sep,21,Paperback,18.1,18.1
5,The Love Hypothesis,Ali Hazelwood,2021,Sep,28,Paperback,13.95,16.0
6,"Beautiful World, Where Are You",Sally Rooney,2021,Sep,7,Hardback,21.29,23.13
7,Peril,Bob Woodward,2021,Sep,21,Hardback,27.35,27.35
8,Man's Search For Meaning,Viktor E Frankl,2015,Oct,6,Paperback,8.0,9.52
9,Dune,Frank Herbert,2015,Jul,23,Paperback,8.0,9.52
10,Dune,Frank Herbert,2011,Jul,15,Paperback,14.68,14.68
11,The Thursday Murder Club,Richard Osman,2021,May,13,Paperback,15.05,15.05
12,The Hating Game,Sally Thorne,2017,Sep,7,Paperback,15.26,15.26
13,Your Head is a Houseboat,Campbell Walker,2021,Sep,29,Paperback,17.89,19.99
14,Where the Crawdads Sing,Delia Owens,2019,Dec,20,Paperback,10.47,12.24
15,Piranesi,Susanna Clarke,2021,Sep,2,Paperback,11.57,12.24
16,Six Crimson Cranes,Elizabeth Lim,2021,Jul,8,Hardback,23.8,23.8
17,Atomic Habits,James Clear,2018,Nov,27,Paperback,21.0,23.13
18,Ugly Love: A Novel,Colleen Hoover,2014,Aug,5,Paperback,15.64,16.99
19,Heaven Official's Blessing,Mo Xiang Tong Xiu,2021,Dec,14,Paperback,17.89,19.99
20,The Song of Achilles,Madeline Miller,2021,Sep,2,Hardback,29.61,29.61
21,Come as You Are: Revised and Updated,Emily Nagoski,2021,Mar,2,Paperback,29.61,29.61
22,Grandmaster of Demonic Cultivation,Mo Xiang Tong Xiu,2021,Dec,14,Paperback,17.89,19.99
23,The Silent Patient,Alex Michaelides,2020,Jan,15,Paperback,9.96,12.24
24,They Both Die at the End,Adam Silvera,2017,Sep,7,Paperback,10.33,10.88
25,The Atlas Six,Olivie Blake,2020,Jan,30,Paperback,16.64,16.64
26,Ugly Love,Colleen Hoover,2016,Jan,21,Paperback,13.44,15.5
27,Normal People,Sally Rooney,2019,Jul,23,Paperback,13.93,13.93
28,Death to Jar Sauce,Nat's What I Reckon,2021,Nov,16,Paperback,22.67,25.33
29,The Beekeeper of Aleppo,Christy Lefteri,2020,Apr,1,Paperback,10.58,12.24
30,"Red, White & Royal Blue",Casey McQuiston,2019,May,14,Paperback,13.52,16.99
31,I Grew with You,Sarah Molitor,2021,Oct,26,Hardback,15.9,16.95
32,The Scum Villain's Self-Saving System,Mo Xiang Tong Xiu,2021,Dec,14,Paperback,17.89,19.99
33,The Cruel Prince (The Folk of the Air),Holly Black,2018,Jul,26,Paperback,10.82,12.24
34,Empire of the Vampire,Jay Kristoff,2021,Sep,7,Hardback,46.27,46.27
35,If We Were Villains - signed edition,M. L. Rio,2021,Sep,24,Hardback,46.27,46.27
36,Red Roulette,Desmond Shum,2021,Sep,7,Paperback,34.6,34.6
37,Clarity & Connection,Yung Pueblo,2021,Jul,2,Paperback,15.47,16.99
38,The Spanish Love Deception,Elena Armas,2021,Feb,22,Paperback,25.86,25.86
39,Conversations with Friends,Sally Rooney,2018,Mar,1,Paperback,14.69,14.69
41,One Of Us Is Lying,Karen M. McManus,2017,Jun,1,Paperback,11.1,11.1
42,Verity,Colleen Hoover,2018,Dec,10,Paperback,21.34,21.34
43,Your One Wild and Precious Life,Maureen Gaffney,2021,Sep,16,Paperback,21.34,21.34
44,Rich Dad Poor Dad,Robert T. Kiyosaki,2018,Oct,31,Paperback,9.39,9.39
45,1984,George Orwell,2008,Oct,1,Paperback,8.25,17.75
46,The Vanishing Half,Brit Bennett,2021,Jun,3,Paperback,14.49,14.49
47,Once Upon A Broken Heart,Stephanie Garber,2021,Sep,30,Hardback,21.7,23.13
48,The Very Hungry Caterpillar,Eric Carle,1994,Sep,29,Board book,9.23,9.48
49,12 Rules for Life,Jordan B. Peterson,2019,May,7,Paperback,15.2,15.2
50,The Truth About COVID-19,Doctor Joseph Mercola,2021,Apr,29,Hardback,20.87,24.95
51,This Much is True,Miriam Margolyes,2022,May,10,Hardback,23.96,28.99
52,Hamnet,Maggie O'Farrell,2021,Apr,15,Paperback,15.34,15.34
53,The Psychology of Money,Morgan Housel,2020,Sep,8,Paperback,17.04,18.99
54,The Secret History,Donna Tartt,1995,Jul,1,Paperback,19.88,19.88
56,"Thinking, Fast and Slow",Daniel Kahneman,2012,May,24,Paperback,21.19,21.19
57,The Legacy,Elle Kennedy,2021,Sep,21,Paperback,14.69,14.69
58,You Can Do All Things 2022 Day-to-Day Calendar,Kate Allan,2021,Sep,30,Calendar,15.1,15.99
59,A Little Life,Hanya Yanagihara,2017,Mar,10,Paperback,16.0,16.0
60,Dear Zoo,Rod Campbell,2007,May,8,Board book,7.62,7.62
61,From Blood and Ash,Jennifer L Armentrout,2021,May,25,Hardback,36.89,36.89
62,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mo Xiang Tong Xiu,2022,Feb,15,Paperback,17.89,19.99
63,All Your Perfects,Colleen Hoover,2018,Aug,9,Paperback,13.83,16.99
64,The Deal,Elle Kennedy,2015,Feb,24,Paperback,15.1,15.1
65,A Good Girl's Guide to Murder,Holly Jackson,2019,Oct,17,Paperback,12.66,12.66
66,The Storyteller,Dave Grohl,2021,Oct,5,Hardback,24.37,27.23
67,The Man Who Died Twice,Richard Osman,2021,Sep,16,Hardback,26.09,26.09
68,"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,2019,Nov,4,Hardback,23.02,23.13
69,Sapiens,Yuval Noah Harari,2015,May,1,Paperback,20.65,20.65
70,A Passage North,Anuk Arudpragasam,2021,Jul,15,Hardback,25.94,25.94
71,Six of Crows: Collector's Edition,Leigh Bardugo,2018,Oct,11,Hardback,24.77,24.77
72,What Really Happened In Wuhan,Sharri Markson,2021,Sep,29,Paperback,22.67,25.33
73,The Power of Now,Eckhart Tolle,2016,Jan,7,Paperback,13.74,19.75
74,"My Hero Academia, Vol. 29",Kohei Horikoshi,2021,Sep,30,Paperback,9.72,9.99
75,We Were Liars,E. Lockhart,2014,May,13,Paperback,14.17,14.17
76,Joshua Weissman: An Unapologetic Cookbook,Joshua Weissman,2021,Sep,14,Hardback,28.72,30.0
77,Aristotle and Dante Dive Into the Waters of the World,Benjamin Alire Saenz,2021,Oct,12,Paperback,12.88,12.88
78,"Bungo Stray Dogs, Vol. 1",Kafka Asagiri,2016,Dec,20,Paperback,13.0,13.0
79,Animal Farm,George Orwell,2008,Oct,1,Paperback,7.19,17.75
80,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,2020,Oct,22,Hardback,20.96,22.99
81,Natural Magick,Lindsay Squire,2021,Sep,21,Paperback,20.78,20.78
82,Our Family Pledge,Emmaline Carroll Southwell,2021,Sep,28,Hardback,13.8,14.47
83,The Queen of Nothing (The Folk of the Air #3),Holly Black,2020,Jul,23,Paperback,13.88,13.88
84,The Four Agreements,Don Miguel Ruiz,1997,Nov,7,Paperback,11.35,12.95
85,Giraffes Can't Dance,Giles Andreae,2014,May,1,Paperback,11.52,13.25
86,Before the Coffee Gets Cold,Toshikazu Kawaguchi,2019,Sep,19,Paperback,12.31,12.31
87,Crooked Kingdom Collector's Edition,Leigh Bardugo,2019,Sep,5,Hardback,21.4,23.13
88,The Wicked King (The Folk of the Air #2),Holly Black,2019,Oct,4,Paperback,10.35,12.24
89,Circe,Madeline Miller,2019,Apr,24,Paperback,13.47,13.6
90,The Koala Who Could,Rachel Bright,2017,Feb,17,Paperback,12.53,12.53
91,Have You Filled A Bucket Today?,Carol McCloud,2015,Oct,1,Paperback,9.74,9.95
92,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,Mo Xiang Tong Xiu,2022,Mar,15,Paperback,17.89,19.99
93,The Unhoneymooners,Christina Lauren,2019,May,14,Paperback,16.17,16.99
94,Dune Messiah,Frank Herbert,2018,May,16,Paperback,15.41,15.41
95,And Away...,Bob Mortimer,2021,Sep,16,Paperback,21.29,21.29
96,Secrets of Natural Success,William Whitecloud,2019,Jul,12,Paperback,25.12,25.12
97,The Bell Jar,Sylvia Plath,2011,Aug,15,Paperback,11.68,12.95
98,The Invisible String,Patrice Karst,2018,Dec,6,Paperback,10.62,10.62
99,Children Of Dune,Frank Herbert,2021,Jan,28,Paperback,16.63,16.63
100,The Untethered Soul,Michael A. Singer,2007,Nov,7,Paperback,14.1,18.95
101,Belonging,Catherine Corless,2021,Sep,16,Paperback,19.25,21.77
102,Mindset - Updated Edition,Dr Carol Dweck,2017,Apr,11,Paperback,17.53,17.53
103,The Tiger Who Came to Tea,Judith Kerr,2006,Feb,6,Paperback,9.01,9.01
104,If We Were Villains,M. L. Rio,2017,Jun,13,Paperback,12.43,12.43
105,The Unhoneymooners,Christina Lauren,2020,May,14,Paperback,11.2,12.24
106,The Alchemist,Paulo Coelho,2020,Jun,1,Paperback,8.88,8.99
107,The Great Dune Trilogy,Frank Herbert,2019,Dec,5,Hardback,41.64,47.66
108,Heartstopper Volume Four,Alice Oseman,2021,May,13,Paperback,17.83,17.83
109,BYWAYS. Photographs by Roger A Deakins,Roger  Deakins,2021,Oct,19,Hardback,49.81,55.0
110,Berserk Volume 1,Kentaro Miura,2009,Mar,17,Paperback,13.92,14.99
111,Attached,Amir Levine,2019,Aug,22,Paperback,15.46,15.46
112,This is Going to Hurt,Adam Kay,2018,Apr,19,Paperback,12.73,12.73
113,"Vagabond (VIZBIG Edition), Vol. 1",Takehiko Inoue,2014,Jul,3,Paperback,30.55,30.55
114,Red Roulette,Desmond Shum,2021,Sep,7,Hardback,26.38,27.23
115,The Whole-Brain Child,Daniel J. Siegel,2018,Nov,29,Paperback,13.81,17.0
116,Shuggie Bain,Douglas Stuart,2021,Apr,15,Paperback,12.22,12.24
117,November 9,Colleen Hoover,2015,Nov,10,Paperback,15.31,16.99
118,A Court of Thorns and Roses,Sarah J. Maas,2020,Jun,5,Paperback,11.78,12.24
119,How to Save a Life,LYNETTE RICE,2021,Sep,28,Paperback,18.27,20.41
120,The Lion Inside,Rachel Bright,2016,Mar,10,Paperback,11.99,11.99
121,Start With Why,Simon Sinek,2011,Oct,11,Paperback,12.38,21.75
122,The Daily Stoic,Ryan Holiday,2017,Jan,3,Paperback,13.01,14.96
123,Goodnight Moon,Margaret Wise Brown,2011,Jun,24,Board book,9.4,9.4
124,"Girl, Woman, Other",Bernardine Evaristo,2020,Mar,5,Paperback,14.48,14.48
125,The Flatshare,Beth O'Leary,2020,May,11,Paperback,16.02,16.02
126,Grandmaster of Demonic Cultivation: Mo DAO Zu Shi (Novel) Vol. 3,Mo Xiang Tong Xiu,2022,Jun,14,Paperback,17.89,19.99
127,Inward,Yung Pueblo,2020,Aug,5,Paperback,14.58,16.99
128,Think Again,Adam Grant,2021,Feb,4,Paperback,18.53,20.41
129,The Great Dune Trilogy,Frank Herbert,2005,Nov,17,Paperback,30.88,37.5
130,The Almanack of Naval Ravikant,Eric Jorgenson,2020,Sep,15,Paperback,13.77,16.99
131,Berserk Deluxe Volume 4,Kentaro Miura,2020,Mar,12,Hardback,55.29,55.29
132,The Forever Dog,Rodney Habib,2021,Oct,12,Paperback,17.22,19.24
133,The The Wild Beyond the Witchlight: Dungeons & Dragons,Wizards Rpg Team,2021,Sep,21,Hardback,41.84,49.95
134,The Hawthorne Legacy,Jennifer Lynn Barnes,2021,Sep,9,Paperback,11.19,11.19
135,Breath,James Nestor,2021,Jul,8,Paperback,15.1,15.1
136,The Rainbow Fish,Marcus Pfister,2012,Jul,1,Paperback,10.27,10.27
137,Crime and Punishment,Fyodor Dostoevsky,2000,May,5,Paperback,6.18,6.18
138,When the Body Says No,Dr Gabor Mate,2019,Jan,3,Paperback,15.45,15.45
139,I Want My Hat Back,Jon Klassen,2012,Oct,4,Paperback,9.45,15.5
140,They Both Die at the End,Adam Silvera,2018,Dec,18,Paperback,13.0,13.0
141,The Day the Crayons Quit,Drew Daywalt,2014,Aug,1,Paperback,13.22,13.22
142,The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel) Vol. 2,Mo Xiang Tong Xiu,2022,Apr,19,Paperback,17.89,19.99
143,"Set Boundaries, Find Peace",Nedra Glover Tawwab,2021,Mar,30,Paperback,15.73,20.41
144,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,Mo Xiang Tong Xiu,2022,May,17,Paperback,17.89,19.99
145,The Song of Achilles,Madeline Miller,2012,Aug,28,Paperback,16.17,16.99
146,A Cook's Book,Nigel Slater,2021,Oct,14,Hardback,39.86,40.85
147,The House in the Cerulean Sea,TJ Klune,2021,Sep,16,Paperback,14.27,14.27
148,The Montessori Toddler,Simone Davies,2019,Apr,12,Paperback,17.56,19.95
149,How to Win Friends and Influence People,Dale Carnegie,2011,May,16,Paperback,10.63,10.63
150,"My Hero Academia, Vol. 1",Kohei Horikoshi,2015,Aug,27,Paperback,20.23,20.23
151,How To Do The Work,Nicole Lepera,2021,Mar,11,Paperback,27.19,27.19
152,The Stranger,Albert Camus,2016,Aug,9,Paperback,11.56,13.95
153,"Brown Bear, Brown Bear, What Do You See?",Eric Carle,1997,Jan,2,Board book,10.06,11.06
154,Bewilderment,Richard Powers,2021,Sep,21,Hardback,23.84,25.86
155,Crooked Kingdom (Six of Crows Book 2),Leigh Bardugo,2017,Jun,21,Paperback,21.99,21.99
156,Berserk Deluxe Volume 8,Kentaro Miura,2021,Aug,24,Hardback,53.84,53.84
157,Ariadne,Jennifer Saint,2021,Apr,29,Hardback,26.65,26.65
158,The Folk of the Air Boxset,Holly Black,2020,Oct,8,Novelty book,38.95,38.95
159,Dance of Thieves,Mary Pearson,2019,Aug,6,Paperback,14.97,14.97
160,The Wonderful Things You Will Be,Emily Winfield Martin,2015,Sep,22,Hardback,18.78,18.78
161,Big Panda and Tiny Dragon,James Norbury,2021,Sep,16,Hardback,21.2,21.2
162,Deep Work,Cal Newport,2016,Jan,5,Paperback,19.6,20.41
163,Everything I Know About Love,Dolly Alderton,2019,Feb,7,Paperback,14.69,14.69
164,Never Split the Difference,Chris Voss,2017,Mar,23,Paperback,12.52,13.6
165,"Good Vibes, Good Life",Vex King,2018,Dec,4,Paperback,13.92,16.99
166,Surrounded by Idiots,Thomas Erikson,2019,Jul,30,Paperback,12.63,13.6
167,Some Things I Still Can't Tell You,Misha Collins,2021,Nov,25,Paperback,13.42,14.99
168,The Snail and the Whale,Julia Donaldson,2006,Jun,4,Paperback,9.85,9.85
169,Meine Reise durch Europa,Rita Berman,2021,Sep,30,Paperback,10.28,10.28
170,The Twins of Auschwitz,Eva Mozes Kor,2020,Sep,24,Paperback,14.3,14.3
171,Entangled Life,Merlin Sheldrake,2021,Sep,2,Paperback,14.83,14.96
172,Lit from Within,Sarah Powers,2021,Nov,2,Paperback,17.86,19.95
173,Tales From the Forest Kingdom Coloring Book,Hanna Karlzon,2021,Aug,31,Hardback,16.02,16.02
174,"Get A Life, Chloe Brown",Talia Hibbert,2019,Nov,5,Paperback,14.88,14.88
175,The Little Prince,Antoine de Saint-Exupery,1998,Jan,1,Paperback,5.15,5.15
176,Untamed,Glennon Doyle,2020,May,25,Paperback,18.59,20.41
177,Numberblocks Annual 2022,Sweet Cherry Publishing,2021,Sep,9,Hardback,11.17,11.17
178,The Courage To Be Disliked,Ichiro Kishimi,2019,Jul,23,Paperback,15.44,15.44
179,The Witcher Boxed Set,Andrzej Sapkowski,2020,Oct,1,Paperback,90.6,107.56
180,Uzumaki (3-in-1 Deluxe Edition),Junji Ito,2013,Nov,21,Hardback,33.44,33.44
181,Anxious People,Fredrik Backman,2021,Aug,19,Paperback,12.92,12.92
182,Unnatural Causes,Dr Richard Shepherd,2019,Sep,24,Paperback,18.52,18.52
183,One Last Stop,Casey McQuiston,2021,Jun,1,Paperback,13.69,16.99
184,The Inheritance Games,Jennifer Lynn Barnes,2021,Jul,27,Paperback,13.83,13.83
185,One Up On Wall Street,Peter Lynch,2018,Oct,31,Paperback,15.48,18.99
186,Where's Spot?,Eric Hill,2011,Jun,16,Board book,9.86,9.86
187,Braiding Sweetgrass,Robin Wall Kimmerer,2020,Apr,23,Paperback,15.43,15.43
189,Dark Rise: Dark Rise 1,C S Pacat,2021,Sep,28,Paperback,15.49,15.49
190,What to Do When You Worry Too Much,Dawn Huebner,2005,Sep,15,Paperback,16.59,16.99
191,A Radical Awakening,Dr Shefali Tsabary,2021,May,18,Paperback,24.9,24.9
192,God Emperor Of Dune,Frank Herbert,2021,Jan,28,Paperback,16.79,16.79
193,"Peaceful Parent, Happy Kids",Laura Markham,2012,Nov,28,Paperback,14.84,17.0
194,Never Split the Difference,Chris Voss,2018,Jun,29,Paperback,9.17,9.17
195,Dark Rise,C S Pacat,2021,Sep,28,Hardback,18.84,18.99
196,Six of Crows,Leigh Bardugo,2016,Jun,2,Paperback,12.57,12.57
197,Heartstopper Volume One,Alice Oseman,2019,Apr,10,Paperback,16.81,16.81
198,The Light Seer's Tarot,Chris-Anne,2019,Dec,3,Cards,22.42,24.99
199,Daring Greatly,Brene Brown,2016,Jan,25,Paperback,14.74,14.74
200,Can't Hurt Me,David Goggins,2018,Oct,11,Paperback,25.12,25.12
201,Project Hail Mary,Andy Weir,2021,May,4,Paperback,20.99,23.89
202,The Brightest Night (Wings of Fire Graphic Novel 5 ),Tui T. Sutherland,2021,Oct,7,Paperback,13.36,13.36
203,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,2021,Jan,1,Paperback,14.27,14.27
204,"Chainsaw Man, Vol. 7",Tatsuki Fujimoto,2021,Oct,28,Paperback,8.94,9.99
205,The Comfort Book,Matt Haig,2021,Jul,6,Hardback,26.74,26.74
206,Ottolenghi Test Kitchen: Shelf Love,Yotam Ottolenghi,2021,Sep,30,Paperback,30.47,34.04
207,Nine Perfect Strangers,Liane Moriarty,2019,Jun,5,Paperback,15.21,15.21
208,Kingdom of the Cursed,Kerri Maniscalco,2021,Oct,5,Hardback,17.21,18.99
209,The Very Hungry Caterpillar: Little Learning Library,Eric Carle,2011,Jan,10,Board book,9.71,11.0
210,The Subtle Art of Not Giving a F*Ck,Mark Manson,2017,Sep,13,Paperback,17.98,18.99
211,Go Tell the Bees that I am Gone,Diana Gabaldon,2021,Nov,23,Paperback,22.73,23.96
212,Tarot of Mystical Moments,Catrin Welz-Stein,2021,Apr,1,Hardback,25.28,25.95
213,Look Inside Your Body,Louie Stowell,2021,Jan,8,Board book,20.42,20.42
214,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,2021,May,27,Paperback,14.55,14.55
215,Six of Crows Boxed Set,Leigh Bardugo,2018,Oct,16,Paperback,28.58,28.58
216,It Starts with the Egg,Rebecca Fett,2019,Feb,28,Paperback,25.08,25.08
217,Five Love Languages Revised Edition,Gary Chapman,2015,Mar,26,Paperback,13.68,15.99
218,Roald Dahl's Marvellous Joke Book,Roald Dahl,2012,Sep,6,Paperback,7.68,8.2
219,"Oh, The Places You'll Go!",Dr. Seuss,2017,Jun,1,Paperback,9.8,15.5
220,de Sangre Y Cenizas,Jennifer L Armentrout,2021,Oct,26,Paperback,15.9,16.95
221,"Demon Slayer: Kimetsu no Yaiba, Vol. 23",Koyoharu Gotouge,2021,Sep,30,Paperback,9.84,9.99
222,The Goal,Elle Kennedy,2016,Sep,26,Paperback,14.81,15.0
223,Our Dreams at Dusk: Shimanami Tasogare Vol. 2,Yuhki Kamatani,2019,Jul,23,Paperback,13.41,13.41
224,Heretics Of Dune,Frank Herbert,2021,Jan,28,Paperback,12.53,13.6
225,Chapter House Dune,Frank Herbert,2021,Jan,28,Paperback,17.07,17.07
226,Milk and Honey,Rupi Kaur,2016,Jul,8,Paperback,11.67,14.99
227,On Writing,Stephen King,2020,Sep,1,Paperback,17.05,19.75
228,"My Hero Academia, Vol. 2",Kohei Horikoshi,2015,Nov,19,Paperback,20.17,20.17
229,The Shadow and Bone Trilogy Boxed Set,Leigh Bardugo,2017,Nov,14,Paperback,38.35,38.35
230,Mr Men Little Miss Advent Calendar,Adam Hargreave,2021,Oct,14,Hardback,24.36,27.22
231,Never Let Me Go,Kazuo Ishiguro,2010,Feb,1,Paperback,11.61,11.61
232,The Catcher in the Rye,J. D. Salinger,2005,Mar,18,Paperback,8.7,8.99
233,You and Me on Vacation,Emily Henry,2021,Jul,22,Paperback,11.23,11.23
234,The Outsiders,S E Hinton,2016,Aug,4,Paperback,10.25,10.88
235,My Policeman,Bethan Roberts,2014,Apr,1,Paperback,11.99,18.95
236,Norwegian Wood,Haruki Murakami,2003,Jul,4,Paperback,16.92,27.75
237,Flow,Mihaly Csikszentmihalyi,2011,Jun,24,Paperback,9.92,16.99
238,The Intelligent Investor,Benjamin Graham,2003,Oct,23,Paperback,23.1,24.99
239,Harry Potter y la cámara secreta (Ed. Minalima),J.K. Rowling,2021,Oct,28,Hardback,33.47,37.4
240,"Jujutsu Kaisen, Vol. 11",Gege Akutami,2021,Sep,16,Paperback,33.47,37.4
241,"Chainsaw Man, Vol. 6",Tatsuki Fujimoto,2021,Oct,14,Paperback,8.94,9.99
242,Women Don't Owe You Pretty,Florence Given,2020,Jul,18,Hardback,19.0,19.0
243,Invisible Women,Caroline Criado Perez,2020,Mar,5,Paperback,13.44,13.6
244,Think and Grow Rich,Napoleon Hill,2005,Sep,1,Paperback,10.24,10.24
245,A Court of Frost and Starlight,Sarah J. Maas,2020,Jun,5,Paperback,13.07,13.07
246,The Montessori Baby,Simone Davies,2021,May,11,Paperback,18.87,19.95
247,A Man Called Ove,Fredrik Backman,2015,May,7,Paperback,9.77,12.24
