,title,author,publication year,publication month,publication day,format,current price,original price
249,Troubled Blood,Robert Galbraith,2021,Jun,24,Paperback,15.78,15.78
250,One Of Us Is Next,Karen M. McManus,2020,Jan,9,Paperback,11.2,11.2
251,Quiet,Susan Cain,2018,Oct,31,Paperback,12.96,20.25
252,Meditations,Marcus Aurelius,2015,Nov,17,Paperback,10.03,11.0
253,The Subtle Art of Not Giving a F*ck,Mark Manson,2016,Nov,17,Hardback,21.45,26.99
254,Foundation,Isaac Asimov,2016,Sep,22,Paperback,12.52,12.52
255,The Art of War,Sun Tzu,2011,Oct,14,Paperback,7.25,7.25
256,The Hebridean Baker,Coinneach MacLeod,2021,Oct,15,Hardback,26.95,27.23
257,The Promise,Damon Galgut,2021,Jun,17,Paperback,19.82,19.82
258,The Mistake,Elle Kennedy,2015,Apr,28,Paperback,14.23,15.0
259,Med,Claudia Roden,2021,Sep,2,Hardback,40.53,40.53
260,To Kill a Kingdom,Alexandra Christo,2018,Mar,6,Paperback,14.28,14.28
261,The Girl Who Never Made Mistakes,Gary Rubinstein,2011,Nov,4,Hardback,17.96,17.96
262,Minecraft Annual 2022,Mojang AB,2021,Sep,2,Hardback,13.62,13.62
263,The Rabbit Listened,Cori Doerrfeld,2018,Feb,20,Hardback,30.21,30.21
264,Hokusai: The Great Picture Book of Everything,Timothy Clark,2021,Sep,30,Hardback,33.56,37.5
265,The Everyday Hero Manifesto,Robin Sharma,2021,Sep,7,Paperback,23.54,23.54
266,This Book Is for You,Worry Lines,2021,Oct,12,Hardback,17.56,17.56
267,The Only Study Guide You'll Ever Need,Jade Bowler,2021,Aug,5,Paperback,15.95,20.41
268,The Obstacle is the Way,Ryan Holiday,2018,Oct,31,Paperback,11.07,13.6
269,Burnout,Gordon Parker,2021,Jul,2,Paperback,33.65,33.65
270,Attack On Titan Season 1 Part 1 Manga Box Set,Hajime Isayama,2020,Feb,7,Paperback,41.3,43.96
271,The Hero with a Thousand Faces,Joseph Campbell,2016,Feb,1,Hardback,22.18,24.95
272,Shoe Dog,Phil Knight,2018,May,3,Paperback,15.06,15.06
273,The 13-Storey Treehouse,Andy Griffiths,2015,Mar,20,Paperback,6.54,9.52
274,Look Inside Space,Rob Lloyd Jones,2012,Nov,29,Board book,15.84,15.84
275,Humankind,Rutger Bregman,2021,May,13,Paperback,14.97,14.97
276,The Salt Path,Raynor Winn,2019,Jan,31,Paperback,12.57,13.6
277,Peter Darling,Austin Chant,2021,Jun,1,Paperback,13.23,13.23
278,Meditations,Marcus Aurelius,2019,Feb,6,Paperback,10.79,11.0
279,The Lean Startup,Eric Ries,2011,Oct,13,Paperback,20.65,20.65
280,Leaders Eat Last,Simon Sinek,2017,Jul,12,Paperback,15.49,15.49
281,Everything I Never Told You,Celeste Ng,2014,Nov,13,Paperback,9.99,12.24
282,First 100 Words,Roger Priddy,2011,May,10,Board book,7.34,7.34
283,Dinosaurs Love Underpants,Claire Freedman,2008,Jun,5,Paperback,12.51,12.51
284,How to Talk so Kids Will Listen and Listen so Kids Will Talk,Adele Faber,2012,Dec,5,Paperback,17.48,29.25
285,Ikigai,Héctor García,2017,Sep,7,Hardback,19.45,19.45
286,My Year of Rest and Relaxation,Ottessa Moshfegh,2019,May,2,Paperback,14.72,14.72
287,Small Pleasures,Clare Chambers,2021,Apr,29,Paperback,10.12,12.24
288,Ninth House,Leigh Bardugo,2020,Oct,20,Paperback,15.33,15.33
289,American Psycho,Bret Easton Ellis,2015,Jan,8,Paperback,10.83,12.24
290,Oi Frog!,Kes Gray,2015,Feb,5,Paperback,12.62,12.62
291,Look Inside Our World,Emily Bone,2014,Dec,30,Board book,15.39,15.39
292,Harry Potter Box Set: The Complete Collection (Children's Paperback),J.K. Rowling,2020,Dec,1,Paperback,92.54,259.95
293,Stick Man,Julia Donaldson,2016,Nov,26,Paperback,12.37,12.37
294,Mythos,Stephen Fry,2018,Jul,26,Paperback,13.85,13.85
295,Numbers Don't Lie,Vaclav Smil,2021,Apr,1,Paperback,14.39,14.39
296,Room on the Broom,Julia Donaldson,2003,Aug,25,Paperback,9.24,9.24
297,Matilda,Roald Dahl,2007,Aug,16,Paperback,8.29,8.29
298,I'm a Big Sister,Joanna Cole,2010,Apr,1,Hardback,8.27,8.27
299,Red Roulette,Desmond Shum,2021,Sep,7,Hardback,27.54,30.0
300,"Given, Vol. 6",Natsuki Kizu,2021,Oct,14,Paperback,11.63,12.99
301,Daisy Jones and The Six,Taylor Jenkins Reid,2020,Jan,9,Paperback,15.77,15.77
302,Scattered Minds,Dr Gabor Mate,2019,Jan,3,Paperback,13.99,14.96
303,The Score,Elle Kennedy,2016,Jan,11,Paperback,14.84,15.0
304,Attack On Titan Season 1 Part 2 Manga Box Set,Hajime Isayama,2018,Jun,25,Paperback,40.83,43.96
305,Spin the Dawn,Elizabeth Lim,2021,Mar,4,Paperback,15.8,15.8
306,Percy Jackson and the Olympians,Rick Riordan,2014,Jun,3,Paperback,45.68,45.68
307,American Dirt,Jeanine Cummins,2021,Feb,18,Paperback,16.14,16.14
308,Look Inside Things That Go,Rob Lloyd Jones,2013,Nov,1,Board book,17.08,17.08
309,Tabby McTat,Julia Donaldson,2020,Dec,1,Paperback,13.66,13.66
310,Angel Answers Oracle Cards,Radleigh Valentine,2020,Nov,9,Cards,16.27,19.99
311,And Away...,Bob Mortimer,2021,Sep,16,Hardback,23.54,27.23
312,The Hobbit and the Lord of the Rings,J. R. R. Tolkien,2014,Oct,21,Paperback,55.71,59.99
313,House of Leaves,Mark Z. Danielewski,2000,Mar,7,Paperback,28.65,28.65
314,Why We Sleep,Matthew Walker,2018,Oct,31,Paperback,15.96,15.96
315,Educated,Tara Westover,2018,Nov,27,Paperback,13.25,13.6
316,The Hidden Life of Trees,Peter Wohlleben,2019,Nov,22,Paperback,14.82,14.82
317,Stuck,Oliver Jeffers,2012,May,1,Paperback,15.28,15.5
318,Story Of My Home: The Art of Home,The Story Of My Home Team,2021,Sep,16,Hardback,22.32,22.32
319,Hold on to Your Kids,Dr Gabor Mate,2019,Jan,3,Paperback,15.56,15.56
320,The Promise,Damon Galgut,2021,Jun,17,Hardback,24.93,24.93
321,Brain Games For Clever Kids (R),Gareth Moore,2014,Oct,1,Paperback,8.25,8.25
322,Ethereal Visions,Matt Hughes,2018,Oct,1,Cards,20.58,23.95
323,Misfits,Michaela Coel,2021,Sep,7,Hardback,12.7,13.6
324,Harry Potter and the Chamber of Secrets: MinaLima Edition,J.K. Rowling,2021,Oct,26,Hardback,39.0,43.57
325,Harry Potter and the Philosopher's Stone: MinaLima Edition,J.K. Rowling,2021,Mar,27,Hardback,39.27,40.85
326,The Real Anthony Fauci,Robert F. Kennedy Jr.,2021,Nov,9,Hardback,24.16,26.99
327,King of Scars,Leigh Bardugo,2020,Mar,5,Paperback,15.13,15.13
328,Berserk Deluxe Volume 5,Kentaro Miura,2020,Jul,26,Hardback,59.66,59.66
329,Heartstopper Volume Three,Alice Oseman,2020,Feb,6,Paperback,17.83,17.83
330,Peppa Pig: Little Library,Peppa Pig,2011,Jun,16,Board book,9.26,9.26
331,The Priory of the Orange Tree,Samantha Shannon,2020,Feb,6,Paperback,19.53,19.53
332,Superworm,Julia Donaldson,2016,Jul,7,Paperback,15.47,15.47
333,"Good Girl, Bad Blood",Holly Jackson,2020,May,1,Paperback,14.01,14.01
334,We Hunt the Flame,Hafsah Faizal,2021,Jun,29,Paperback,13.97,13.97
335,Wheel of Time Premium Boxed Set I,Robert Jordan,2019,Oct,29,Paperback,40.22,40.22
336,You Can Heal Your Life,Louise Hay,2004,Jul,1,Paperback,13.69,15.99
337,Beautiful Oops!,Barney Saltzberg,2010,Oct,1,Hardback,14.76,16.95
338,Zero to One,Blake Masters,2018,Oct,31,Paperback,13.14,13.49
339,The Wonky Donkey,Craig Smith,2018,Nov,30,Paperback,7.75,7.75
340,The Mamba Mentality: How I Play,Kobe Bryant,2020,Feb,28,Hardback,32.81,35.0
341,Una corte de llamas plateadas,Sarah J. Maas,2021,Nov,10,Paperback,17.73,19.81
342,The Concise 48 Laws Of Power,Robert Greene,2002,Jun,13,Paperback,9.85,15.5
343,Foundation Trilogy,Isaac Asimov,2014,Sep,12,Hardback,21.92,31.25
344,Ottolenghi SIMPLE,Yotam Ottolenghi,2018,Sep,6,Hardback,36.3,36.3
346,Work Your Light Oracle Cards,Rebecca Campbell,2020,Nov,9,Cards,17.61,21.99
347,Batman: The World,Brian Azzarello,2021,Sep,14,Paperback,23.21,24.99
348,Berserk Volume 2,Kentaro Miura,2004,Dec,21,Paperback,14.07,14.99
349,A Court of Wings and Ruin,Sarah J. Maas,2020,Jun,5,Paperback,16.4,16.4
350,Monkey Puzzle,Julia Donaldson,2016,Sep,13,Paperback,11.03,12.25
351,The Nightingale,Kristin Hannah,2017,Oct,5,Paperback,14.39,14.39
352,The Green Witch,Arin Murphy-Hiscock,2017,Oct,19,Hardback,16.4,17.99
353,Welcome Home,Najwa Zebian,2021,Jun,1,Paperback,16.4,17.99
354,November 9,Colleen Hoover,2015,Nov,11,Paperback,12.16,13.5
355,Press Here,Herve Tullet,2019,Feb,19,Board book,10.37,10.37
356,The Love Hypothesis,Ali Hazelwood,2021,Oct,21,Paperback,12.88,12.88
357,Ten Little Fingers and Ten Little Toes,Mem Fox,2011,Feb,7,Board book,10.45,11.0
358,The High 5 Habit,Mel Robbins,2021,Sep,28,Paperback,17.49,19.54
359,Show Your Work!,Austin Kleon,2014,Mar,11,Paperback,12.99,12.99
360,The Barefoot Investor,Scott Pape,2018,Jul,1,Paperback,18.15,21.0
361,Josh and Hazel's Guide to Not Dating,Christina Lauren,2019,Aug,8,Paperback,9.86,12.24
362,Together,Jamie Oliver,2021,Sep,2,Hardback,37.36,37.36
363,The Body Keeps the Score,Bessel Van Der Kolk,2015,Sep,8,Paperback,17.76,19.0
364,The Gruffalo's Child,Julia Donaldson,2007,Mar,1,Paperback,8.3,8.3
365,The Poppy War,R.F. Kuang,2018,Oct,18,Paperback,15.74,15.74
366,"Asesino de Brujas - Vol. 3. La Doncella, La Bruja Y La Arpia",Shelby Mahurin,2021,Oct,26,Paperback,17.18,18.95
367,The Crown of Gilded Bones,Jennifer L Armentrout,2021,Jun,8,Hardback,35.37,35.37
368,Little Bont and the Big Secret,Marcus Bontempelli,2021,Oct,26,Hardback,13.32,14.47
369,Four Thousand Weeks,Oliver Burkeman,2021,Aug,26,Paperback,30.58,30.58
370,How To Talk So Little Kids Will Listen,Joanna Faber,2017,Jan,26,Paperback,16.87,17.69
371,The Secret,Rhonda Byrne,2006,Dec,4,Hardback,19.89,26.75
372,Convenience Store Woman,Sayaka Murata,2019,Aug,5,Paperback,14.11,14.11
373,The Choice,Edith Eger,2018,Aug,16,Paperback,14.08,14.96
374,Call Me By Your Name,Andre Aciman,2017,Dec,21,Paperback,15.81,15.81
375,In the Realm of Hungry Ghosts,Dr Gabor Mate,2018,Oct,4,Paperback,15.53,15.53
376,The Invisible Life of Addie LaRue,V.E. Schwab,2020,Oct,6,Hardback,23.35,24.5
377,Attack on Titan 34,Hajime Isayama,2021,Oct,19,Paperback,9.86,10.99
378,The Seven Sisters,Lucinda Riley,2018,Nov,1,Paperback,15.72,15.72
379,Heartstopper Volume Two,Alice Oseman,2019,Dec,20,Paperback,16.82,16.82
380,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Saenz,2015,Feb,25,Paperback,13.89,14.99
381,Tomie: Complete Deluxe Edition,Junji Ito,2016,Dec,20,Hardback,34.13,34.99
382,"Hunter x Hunter, Vol. 5",Yoshihiro Togashi,2016,Sep,22,Paperback,10.31,10.31
383,Circe,Madeline Miller,2018,Apr,19,Hardback,25.24,25.24
384,As Good As Dead,Holly Jackson,2021,Aug,5,Paperback,13.84,13.84
385,The Huge Bag of Worries,Virginia Ironside,2011,Jan,6,Paperback,12.37,12.37
386,"The Case Study of Vanitas, Vol. 3",Jun Mochizuki,2017,Nov,14,Paperback,12.42,13.0
387,The Gruffalo,Julia Donaldson,2006,Mar,2,Paperback,8.3,8.3
388,The Dinosaur's Diary,Julia Donaldson,2002,Mar,28,Paperback,7.59,8.16
389,"One Piece, Vol. 97",Eiichiro Oda,2021,Oct,28,Paperback,9.79,9.99
390,"My Hero Academia, Vol. 25",Kohei Horikoshi,2020,Oct,29,Paperback,10.31,10.31
391,Judgement Detox,Gabrielle Bernstein,2018,Jan,2,Paperback,20.93,20.93
392,Malibu Rising,Taylor Jenkins Reid,2021,Jun,1,Paperback,18.25,18.25
393,Dare to Lead,Brené Brown,2018,Dec,17,Paperback,20.12,20.41
394,$100M Offers,Alex Hormozi,2021,Jul,13,Hardback,25.43,25.43
395,Our Dreams at Dusk: Shimanami Tasogare Vol. 4,Yuhki Kamatani,2019,Dec,17,Paperback,13.17,13.17
396,No One Is Talking About This,Patricia Lockwood,2021,Feb,16,Hardback,20.1,20.41
397,Shadow and Bone: Now a Netflix Original Series,Leigh Bardugo,2018,Jun,28,Paperback,14.0,14.0
398,Shadow and Bone: Siege and Storm,Leigh Bardugo,2018,Jun,28,Paperback,13.87,13.87
399,Rule of Wolves (King of Scars Book 2),Leigh Bardugo,2021,Mar,30,Hardback,24.71,24.71
400,Brief Answers to the Big Questions,Stephen Hawking,2020,Mar,5,Paperback,15.14,15.14
401,Born A Crime,Trevor Noah,2017,Sep,21,Paperback,11.6,13.6
402,House of Hollow,Krystal Sutherland,2021,Apr,6,Paperback,11.61,11.61
403,The Squirrels Who Squabbled,Rachel Bright,2018,Feb,8,Paperback,12.84,12.84
404,Great Circle,Maggie Shipstead,2021,May,4,Hardback,23.95,23.95
405,AI 2041,Kai-Fu Lee,2021,Sep,16,Paperback,22.78,22.78
406,Meditations,Marcus Aurelius,2012,Nov,21,Paperback,5.91,9.48
407,"The Boy Who Was Raised as a Dog, 3rd Edition",Bruce D. Perry,2017,Aug,31,Paperback,16.21,18.99
408,Lord of the Flies,William Golding,2011,Jul,15,Paperback,9.63,11.0
409,The Soulmate Equation,Christina Lauren,2021,Aug,5,Paperback,14.2,14.2
410,Live No Lies,John Mark Comer,2021,Sep,28,Hardback,22.88,23.13
411,The Magician,Colm Toibin,2021,Sep,23,Hardback,26.61,26.61
412,Percy Jackson and the Lightning Thief (Book 1),RIck Riordan,2013,Jul,4,Paperback,18.01,18.01
413,How to Win Friends and Influence People,Dale Carnegie,2010,Aug,16,Paperback,9.62,9.62
414,Almond,Won-Pyung Sohn,2021,Jul,22,Paperback,15.47,16.99
415,"Influence, New and Expanded UK","Robert B Cialdini, PhD",2021,May,13,Paperback,21.66,21.66
416,Talk To Me In Korean Level 1 (downloadable Audio Files Included),Talktomeinkorean Talktomeinkorean,2015,Dec,28,Paperback,17.78,24.99
417,The 7 Habits of Highly Effective People,Stephen R Covey,2020,May,19,Paperback,17.55,18.99
418,The Art of More,Michael Brooks,2021,Aug,31,Paperback,34.14,34.14
419,Nonviolent Communication 3rd Ed,Rosenberg M,2015,Dec,28,Paperback,19.64,19.95
420,The Wim Hof Method,Wim Hof,2020,Sep,24,Hardback,22.8,23.13
421,Women Who Run With The Wolves,Clarissa Pinkola Estes,2008,Feb,7,Paperback,19.17,20.55
422,"Richer, Wiser, Happier",William Green,2021,Apr,29,Paperback,20.7,20.7
423,Adult Children of Emotionally Immature Parents,Lindsay C Gibson,2015,Jun,25,Paperback,14.04,18.95
424,In Five Years,Rebecca Serle,2020,Oct,1,Paperback,12.7,12.7
425,The Wrath and the Dawn,Renee Ahdieh,2017,Apr,6,Paperback,14.16,14.16
426,Mistborn Trilogy Boxed Set,Brandon Sanderson,2015,May,14,Paperback,44.78,44.78
427,Harry Potter and the Philosopher's Stone,J.K. Rowling,2014,Sep,1,Paperback,15.85,15.85
428,Red Queen,Victoria Aveyard,2015,Jul,16,Paperback,14.09,14.09
429,Once Upon a Time in Hollywood,Quentin Tarantino,2021,Jun,29,Paperback,9.72,12.24
430,Press Here,Herve Tullet,2011,Apr,1,Hardback,16.02,16.02
431,Wonder,R. J. Palacio,2013,Jan,23,Paperback,14.8,18.0
432,The Eye Of The World,Robert Jordan,2021,Sep,16,Paperback,14.15,14.15
433,Little Fires Everywhere,Celeste Ng,2018,May,22,Paperback,14.7,14.7
434,The Silence of the Girls,Pat Barker,2019,Jul,18,Paperback,13.7,13.7
435,Clean Code,Robert Martin,2009,Mar,1,Paperback,44.42,49.99
436,A Gentleman in Moscow,Amor Towles,2017,Nov,2,Paperback,14.88,14.88
437,To Kill A Mockingbird,Harper Lee,2010,Dec,29,Paperback,12.46,12.46
438,Gangsta Granny,David Walliams,2013,Feb,28,Paperback,9.21,9.21
439,Cloud Cuckoo Land (Export),Anthony Doerr,2021,Sep,28,Paperback,24.26,24.26
440,The Picture of Dorian Gray,Oscar Wilde,1997,Aug,1,Paperback,4.99,5.99
441,Gribet,Janine Davis,2021,Sep,30,Paperback,12.88,12.88
442,Moonology (TM) Diary 2022: THE SUNDAY TIMES BESTSELLER,Yasmin Boland,2021,Jul,27,Paperback,15.47,16.99
444,Rick Stein at Home,Rick Stein,2021,Nov,30,Hardback,37.24,49.95
446,The Proof is in the Plants,Simon Hill,2021,Nov,1,Paperback,35.63,35.63
447,Billy Summers,Stephen King,2021,Aug,3,Hardback,27.66,27.66
448,Air Marshal Sir Keith Park,Murray Rowlands,2021,Mar,4,Hardback,24.05,39.95
449,Berserk Deluxe Volume 9,Kentaro Miura,2021,Nov,9,Hardback,44.74,49.99
450,Berserk Deluxe Volume 7,Kentaro Miura,2021,Mar,9,Hardback,55.75,55.75
451,Short Stories in French for Beginners,Olly Richards,2018,Nov,13,Paperback,13.92,14.99
452,Unbound,Tarana Burke,2021,Sep,14,Hardback,21.2,27.23
453,"Fire Punch, Vol. 3",Tatsuki Fujimoto,2018,Aug,9,Paperback,10.93,12.99
454,Lost Connections,Johann Hari,2019,Jan,11,Paperback,14.84,14.96
455,Empire of the Vampire,Jay Kristoff,2021,Sep,14,Hardback,32.14,32.14
456,The Underground Railroad,Colson Whitehead,2017,Jun,29,Paperback,13.99,13.99
457,Where Is Baby's Belly Button?,Karen Katz,2015,Feb,26,Board book,7.16,7.16
458,Holes,Louis Sachar,2011,Sep,30,Paperback,8.89,8.99
459,"Thinking, Fast and Slow","Daniel Kahneman (Princeton University, New Jersey)",2013,Apr,5,Paperback,19.33,19.33
460,Bully,Penelope Douglas,2014,Nov,6,Paperback,18.38,18.38
461,PlantYou,Carleigh Bodrug,2022,Feb,10,Hardback,26.85,30.0
462,Brave New World,Aldous Huxley,2004,Sep,2,Paperback,11.01,11.01
463,The 4-Hour Work Week,Timothy Ferriss,2013,Jun,12,Paperback,18.69,18.69
464,Rejected Princesses,Jason Porath,2016,Dec,1,Hardback,32.45,32.45
465,Dinosaur Therapy,James Stewart,2021,Aug,19,Hardback,32.45,32.45
466,River Kings,Cat Jarman,2021,Sep,2,Paperback,13.57,13.6
467,Zero Negativity,Ant Middleton,2022,Feb,22,Paperback,16.99,16.99
468,Foundation and Empire,Isaac Asimov,2016,Oct,6,Paperback,7.67,12.24
469,The One and Only Ivan,Katherine Applegate,2017,Oct,1,Paperback,15.74,15.74
470,"Hunt, Gather, Parent",Michaeleen Doucleff,2021,Mar,2,Hardback,25.26,27.0
471,Life Force,Louise Fletcher,2021,Oct,7,Hardback,44.75,50.0
473,Lovers of Philosophy,Warren Ward,2022,Jan,21,Paperback,13.5,13.99
474,The Postscript Murders,Elly Griffiths,2021,Apr,15,Paperback,15.4,15.4
475,The Bear and The Nightingale,Katherine Arden,2017,Dec,15,Paperback,16.06,16.06
476,The Overstory,Richard Powers,2019,Jul,1,Paperback,18.13,18.13
477,Neon Gods,Katee Robert,2021,Jun,1,Paperback,16.14,16.14
478,Akira 35th Anniversary Box Set,Katsuhiro Otomo,2021,Jan,1,Hardback,222.85,222.85
479,Waking the Tiger: Healing Trauma,Peter A. Levine,2017,May,2,Paperback,18.23,18.95
480,Unravel the Dusk,Elizabeth Lim,2021,Jun,1,Paperback,15.99,15.99
481,Rita Hayworth and Shawshank Redemption,Stephen King,2020,Sep,29,Paperback,13.86,13.86
482,Last Night at the Telegraph Club,Malinda Lo,2021,Mar,18,Paperback,15.53,15.53
483,King of Scars,Leigh Bardugo,2019,Feb,5,Hardback,19.58,20.41
484,Range,David Epstein,2020,Oct,1,Paperback,13.39,14.96
485,It Ends with Us,Colleen Hoover,2016,Aug,2,Paperback,16.17,16.99
486,Home Body,Rupi Kaur,2020,Nov,17,Paperback,16.03,17.69
488,"Haikyu!!, Vol. 6",Haruichi Furudate,2016,Dec,15,Paperback,10.31,10.31
489,Zog,Julia Donaldson,2017,Mar,14,Paperback,13.31,13.31
490,Where's Wally?,Martin Handford,2011,Jul,26,Paperback,9.46,9.46
491,We Free the Stars,Hafsah Faizal,2021,Jan,19,Paperback,18.35,18.35
492,Under the Whispering Door,Tj Klune,2021,Oct,1,Hardback,25.11,26.99
493,Love You Forever,Robert Munsch,1995,Sep,1,Paperback,6.73,6.73
494,The Prince,Niccolo Machiavelli,2000,Jan,2,Paperback,3.39,3.39
495,Psycho-Cybernetics,Maxwell Maltz,2017,Jun,21,Paperback,15.47,17.0
496,The Man Who Mistook His Wife for a Hat,Oliver Sacks,2011,Sep,2,Paperback,20.9,20.9
497,Letters from a Stoic,Seneca,2017,Aug,23,Paperback,15.47,17.0
498,Eleanor Oliphant is Completely Fine,Gail Honeyman,2018,Apr,5,Paperback,14.59,14.59
499,The War of Art,Steven Pressfield,2012,Jan,11,Paperback,16.71,16.71
500,My Mouth is a Volcano!,Julia Cook,2005,Oct,1,Paperback,10.27,10.27
501,The Little Book of Joy,Joanne Ruelos Diaz,2021,Sep,2,Hardback,21.0,21.0
502,The 48 Laws Of Power,Robert Greene,2000,Nov,20,Paperback,26.83,26.83
503,The Great Gatsby,F. Scott Fitzgerald,1999,Dec,1,Paperback,4.25,5.99
504,Don't Let the Pigeon Drive the Bus!,Mo Willems,2011,Jul,22,Paperback,12.36,12.75
505,Better Off Dead,Lee Child,2021,Oct,26,Paperback,21.38,23.89
506,The Book Thief,Markus Zusak,2016,Oct,11,Paperback,13.98,13.98
